beam_id,starttime,TEC_per_m2,dTEC_per_m2,pulse_code,integration_time
64016.0,2025-07-22T04:59:12.0,6.513608526351715e16,6.323820256744207e16,ac,1min
64016.0,2025-07-22T05:00:13.0,7.692170224538603e16,1.603637544132369e16,ac,1min
64016.0,2025-07-22T05:01:14.0,5.442354794482586e16,1.1972475838045582e16,ac,1min
64016.0,2025-07-22T05:02:19.0,7.566324857384702e16,5.018058462529951e18,ac,1min
64016.0,2025-07-22T05:03:20.0,5.5266274697002744e16,4.235897091279238e16,ac,1min
64016.0,2025-07-22T05:04:21.0,8.030492767387886e16,2.289338786936142e16,ac,1min
64016.0,2025-07-22T05:05:22.0,5.668776159054167e16,4.968878112660643e18,ac,1min
64016.0,2025-07-22T05:06:23.0,6.4482627686170104e16,1.2259283487590544e16,ac,1min
64016.0,2025-07-22T05:07:24.0,6.526420704633216e16,1.9306177249628342e18,ac,1min
64016.0,2025-07-22T05:08:29.0,7.903043165157832e16,7.443482727135728e16,ac,1min
64016.0,2025-07-22T05:09:30.0,7.215223170619032e16,1.1529398603385692e19,ac,1min
64016.0,2025-07-22T05:10:31.0,7.286183721024038e16,9.224976722680267e18,ac,1min
64016.0,2025-07-22T05:11:32.0,8.975138231140554e16,5.654749129051829e18,ac,1min
64016.0,2025-07-22T05:12:33.0,6.764707184539307e16,2.10930643677938e17,ac,1min
64016.0,2025-07-22T05:13:34.0,7.60493744613135e16,5.6859480151895304e16,ac,1min
64016.0,2025-07-22T05:14:34.0,7.107597523509564e16,2.685135452149942e16,ac,1min
64016.0,2025-07-22T05:15:35.0,8.988567463342427e16,1.1029519180287997e20,ac,1min
64016.0,2025-07-22T05:16:36.0,7.484057307417826e16,5.3221003546257626e17,ac,1min
64016.0,2025-07-22T05:17:37.0,7.0593778600622376e16,1.0845873038249907e18,ac,1min
64016.0,2025-07-22T05:18:38.0,8.583097571323498e16,5.583341606300912e18,ac,1min
64016.0,2025-07-22T05:19:39.0,7.588188485866534e16,6.136428091947542e17,ac,1min
64016.0,2025-07-22T05:20:44.0,7.442617788921816e16,6.463015807481991e18,ac,1min
64016.0,2025-07-22T05:21:45.0,7.975893776698442e16,1.3086842072267676e16,ac,1min
64016.0,2025-07-22T05:22:46.0,7.426167563571811e16,6.1007347598134534e19,ac,1min
64016.0,2025-07-22T05:23:47.0,7.305203265531757e16,3.788407423618641e19,ac,1min
64016.0,2025-07-22T05:24:48.0,6.722958487476102e16,2.4819045342700166e17,ac,1min
64016.0,2025-07-22T05:25:49.0,8.32905451574589e16,2.7199880293645196e16,ac,1min
64016.0,2025-07-22T05:26:54.0,7.384448919715355e16,1.1031706176196115e20,ac,1min
64016.0,2025-07-22T05:27:55.0,1.021847818098968e16,1.227863972100437e15,ac,1min
64016.0,2025-07-22T05:28:56.0,6.649458808262465e16,1.3637679175384534e16,ac,1min
64016.0,2025-07-22T05:29:57.0,5.87934406759167e16,1.4357743719831213e17,ac,1min
64016.0,2025-07-22T05:30:58.0,6.409175806348567e16,1.853690383598459e16,ac,1min
64016.0,2025-07-22T05:31:59.0,8.047300270322253e16,6.629992738531108e18,ac,1min
64016.0,2025-07-22T05:32:59.0,7.690157937061006e16,1.7822975139514878e16,ac,1min
64016.0,2025-07-22T05:34:00.0,7.347733765856482e16,1.5283335867672662e17,ac,1min
64016.0,2025-07-22T05:35:01.0,1.0247601867487486e16,1.727810570435888e15,ac,1min
64016.0,2025-07-22T05:36:02.0,7.389370089252397e16,3.722515143345395e18,ac,1min
64016.0,2025-07-22T05:37:03.0,6.499712862706856e16,3.287108315781068e18,ac,1min
64016.0,2025-07-22T05:38:04.0,7.828731656217272e16,6.776755452181177e18,ac,1min
64016.0,2025-07-22T05:39:09.0,6.863838315613898e16,1.4270606673975978e16,ac,1min
64016.0,2025-07-22T05:40:10.0,7.055719867757504e16,3.1462370803689984e17,ac,1min
64016.0,2025-07-22T05:41:11.0,7.0021399947552e16,1.2072134733016733e17,ac,1min
64016.0,2025-07-22T05:42:12.0,7.330517109785515e16,1.7186243437753965e20,ac,1min
64016.0,2025-07-22T05:43:13.0,7.34152652750353e16,3.6718748779225274e17,ac,1min
64016.0,2025-07-22T05:44:14.0,7.727508188071982e16,8.854673852894697e17,ac,1min
64016.0,2025-07-22T05:45:19.0,7.563808862008806e16,1.3865635274704028e16,ac,1min
64016.0,2025-07-22T05:46:20.0,6.643969384191383e16,5.754398214308234e19,ac,1min
64016.0,2025-07-22T05:47:21.0,7.1688067277011496e16,6.243527041722071e17,ac,1min
64016.0,2025-07-22T05:48:22.0,7.83311652917138e16,1.5971616415778048e18,ac,1min
64016.0,2025-07-22T05:49:23.0,7.100432380601629e16,1.5829257395551606e16,ac,1min
64016.0,2025-07-22T05:50:24.0,8.440183058929078e16,1.481352293675371e16,ac,1min
64016.0,2025-07-22T05:51:30.0,6.380717012467634e16,3.6770130718436593e18,ac,1min
64016.0,2025-07-22T05:52:35.0,9.302429667686512e16,2.4532612712192736e16,ac,1min
64016.0,2025-07-22T05:53:36.0,7.639053047175478e16,6.011240329144077e17,ac,1min
64016.0,2025-07-22T05:54:37.0,7.966293666417672e16,1.813116525115051e16,ac,1min
64016.0,2025-07-22T05:55:38.0,7.883283835958997e16,1.2185897061843364e18,ac,1min
64016.0,2025-07-22T05:56:39.0,8.279692462653872e16,2.9887711331335254e19,ac,1min
64016.0,2025-07-22T05:57:40.0,6.149178320672899e16,1.0119020950402208e16,ac,1min
64016.0,2025-07-22T05:58:45.0,6.663424456603084e16,5.000832643472403e18,ac,1min
64016.0,2025-07-22T05:59:46.0,7.410275285803386e16,1.7914342124227325e17,ac,1min
64157.0,2025-07-22T04:03:42.0,6.394989876431625e16,3.1177405260854044e16,ac,1min
64157.0,2025-07-22T04:04:43.0,6.837448325043694e16,4.45428021418789e16,ac,1min
64157.0,2025-07-22T04:05:48.0,7.035370456650681e16,1.8071112256663904e16,ac,1min
64157.0,2025-07-22T04:06:49.0,6.187371180734479e16,3.651846625463449e16,ac,1min
64157.0,2025-07-22T04:07:50.0,6.956270213272936e16,8.772622010975234e16,ac,1min
64157.0,2025-07-22T04:08:51.0,7.26308339351623e16,8.405482999322395e19,ac,1min
64157.0,2025-07-22T04:09:52.0,7.186612237669397e16,6.319303517411508e16,ac,1min
64157.0,2025-07-22T04:10:53.0,6.956896433145168e16,3.889201494416957e16,ac,1min
64157.0,2025-07-22T04:11:58.0,6.790464931103123e16,9.372195564027613e16,ac,1min
64157.0,2025-07-22T04:12:59.0,6.745503590395003e16,6.2412640212113496e16,ac,1min
64157.0,2025-07-22T04:14:00.0,7.15824925089701e16,5.330031452197001e16,ac,1min
64157.0,2025-07-22T04:15:01.0,7.132447241386448e16,1.6235745624820686e16,ac,1min
64157.0,2025-07-22T04:16:02.0,6.622973379235023e16,1.7169959469425394e16,ac,1min
64157.0,2025-07-22T04:17:03.0,7.222185994344066e16,1.9237966376944986e18,ac,1min
64157.0,2025-07-22T04:18:08.0,5.127615387781351e16,1.9284839182250256e16,ac,1min
64157.0,2025-07-22T04:19:09.0,5.409742324173709e16,6.216965752116031e18,ac,1min
64157.0,2025-07-22T04:20:10.0,7.873396378219328e16,7.177487806069824e16,ac,1min
64157.0,2025-07-22T04:21:11.0,6.658959552644156e16,1.0926264138551008e17,ac,1min
64157.0,2025-07-22T04:22:12.0,6.288248994374504e16,5.123243976570006e16,ac,1min
64157.0,2025-07-22T04:23:13.0,7.44328042573039e16,7.3342309742396e16,ac,1min
64157.0,2025-07-22T04:24:13.0,6.245689850647448e16,5.334305391832349e16,ac,1min
64157.0,2025-07-22T04:25:14.0,6.659488421817752e16,2.3417590583738993e18,ac,1min
64157.0,2025-07-22T04:26:15.0,6.106933832963715e16,4.5734516369109875e17,ac,1min
64157.0,2025-07-22T04:27:16.0,5.000579925388478e16,1.094907257428049e16,ac,1min
64157.0,2025-07-22T04:28:17.0,7.886648615797811e16,1.4728939179957834e16,ac,1min
64157.0,2025-07-22T04:29:18.0,5.383820490609446e16,6.722328302749178e16,ac,1min
64157.0,2025-07-22T04:30:23.0,7.585590713315854e16,1.8574709618991156e16,ac,1min
64157.0,2025-07-22T04:31:24.0,6.585358044384008e16,2.7414762087176906e17,ac,1min
64157.0,2025-07-22T04:32:25.0,7.214409161903328e16,1.093906202475952e20,ac,1min
64157.0,2025-07-22T04:33:26.0,5.783689681011393e16,3.607671735561788e18,ac,1min
64157.0,2025-07-22T04:34:27.0,6.568324684287219e16,3.6205653960326267e18,ac,1min
64157.0,2025-07-22T04:35:28.0,1.0022361934083024e17,2.1024855577850173e18,ac,1min
64157.0,2025-07-22T04:36:33.0,5.949702493082383e16,2.2825507951943143e19,ac,1min
64157.0,2025-07-22T04:37:34.0,8.760744354171467e16,2.988585356768516e18,ac,1min
64157.0,2025-07-22T04:38:35.0,6.878515660004286e16,8.800683122111226e16,ac,1min
64157.0,2025-07-22T04:39:36.0,7.189696669008195e16,1.6796001738363276e16,ac,1min
64157.0,2025-07-22T04:40:37.0,6.8273243770467496e16,4.008366018850075e17,ac,1min
64157.0,2025-07-22T04:41:38.0,6.548070851643225e16,3.3378229583448433e18,ac,1min
64157.0,2025-07-22T04:42:44.0,7.838379719812509e16,1.0916330422531291e17,ac,1min
64157.0,2025-07-22T04:43:49.0,6.186702484697609e16,4.252700756609659e16,ac,1min
64157.0,2025-07-22T04:44:50.0,7.313656705089e16,2.0824274336525279e18,ac,1min
64157.0,2025-07-22T04:45:51.0,7.578837779157186e16,6.688169887860303e16,ac,1min
64157.0,2025-07-22T04:46:52.0,6.118265456169849e16,1.2374469608490627e18,ac,1min
64157.0,2025-07-22T04:47:53.0,7.536894312359822e16,3.5801463445444495e18,ac,1min
64157.0,2025-07-22T04:48:54.0,7.230016144182354e16,1.2616563799549804e18,ac,1min
64157.0,2025-07-22T04:49:59.0,7.230815822238902e16,8.357589573490961e17,ac,1min
64157.0,2025-07-22T04:51:00.0,7.433526015804341e16,8.522079290570554e17,ac,1min
64157.0,2025-07-22T04:52:01.0,7.0864158438960664e16,5.587273057734546e17,ac,1min
64157.0,2025-07-22T04:53:02.0,7.561974110429552e16,6.111592000828975e16,ac,1min
64157.0,2025-07-22T04:54:03.0,5.413259476380853e16,1.8758801611653343e18,ac,1min
64157.0,2025-07-22T04:55:04.0,6.458311205734453e16,5.167203447862781e16,ac,1min
64157.0,2025-07-22T04:56:09.0,7.715769383687475e16,6.83711813441356e16,ac,1min
64157.0,2025-07-22T04:57:10.0,5.058712331582995e16,6.087098868501631e16,ac,1min
64157.0,2025-07-22T04:58:11.0,6.960622036315384e16,3.435294252940727e18,ac,1min
64157.0,2025-07-22T04:59:12.0,7.939218118631434e16,7.343173330523264e16,ac,1min
64157.0,2025-07-22T05:00:13.0,5.8177278545434616e16,1.7984011136332414e16,ac,1min
64157.0,2025-07-22T05:01:14.0,5.17442363671184e16,6.8658502304927384e16,ac,1min
64157.0,2025-07-22T05:02:19.0,8.82403694528498e16,1.384073527763697e16,ac,1min
64157.0,2025-07-22T05:03:20.0,6.366406714662132e16,2.803790837017825e16,ac,1min
64157.0,2025-07-22T05:04:21.0,5.5699976996690824e16,2.389309154012505e18,ac,1min
